Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Type,Gender,Age_Group,City,State,Region,Store_ID,Store_Name,Salesperson,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Order_Status,Target
ORD0100000,2025-04-07,C03913,"Customer 03913",Regular,Female,36-45,Delhi,Delhi,North,ST005,"Delhi South Ex",Ishita,P004,"Women Kurti",Apparel,Women,2,1199.00,0.15,2038.30,1380.00,658.30,UPI,Completed,1876.58
ORD0100001,2025-04-20,C00256,"Customer 00256",Regular,Male,36-45,Kolkata,"West Bengal",East,ST013,"Kolkata Park Street",Aarav,P015,"Water Bottle","Home & Lifestyle",Lifestyle,1,499.00,0.08,459.08,220.00,239.08,Cash,Completed,479.36
ORD0100002,2025-04-29,C02828,"Customer 02828",Regular,Female,18-25,Bengaluru,Karnataka,South,ST009,"Bengaluru Indiranagar",Aarav,P007,"Running Shoes",Footwear,Sports,4,2499.00,0.00,9996.00,6000.00,3996.00,Cash,Completed,9246.35
ORD0100003,2025-04-15,C00838,"Customer 00838",Corporate,Female,36-45,Ahmedabad,Gujarat,West,ST003,"Ahmedabad CG Road",Ananya,P009,"Kids Sandals",Footwear,Kids,1,999.00,0.05,949.05,560.00,389.05,UPI,Completed,988.71
ORD0100004,2025-04-11,C02963,"Customer 02963",Regular,Male,36-45,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Kabir,P017,"Travel Trolley",Bags,Unisex,1,3999.00,0.00,3999.00,2450.00,1549.00,UPI,Completed,4279.21
ORD0100005,2025-04-08,C02283,"Customer 02283",Regular,Female,36-45,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Ananya,P015,"Water Bottle","Home & Lifestyle",Lifestyle,3,499.00,0.10,1347.30,660.00,687.30,Cash,Completed,1323.43
ORD0100006,2025-04-29,C00553,"Customer 00553",Regular,Male,46-55,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Rohan,P016,Backpack,Bags,Unisex,3,1499.00,0.08,4137.24,2460.00,1677.24,UPI,Completed,3965.77
ORD0100007,2025-04-21,C00181,"Customer 00181",Regular,Female,36-45,Surat,Gujarat,West,ST004,"Surat Ring Road",Rohan,P002,"Casual Shirt",Apparel,Men,3,1299.00,0.15,3312.45,2280.00,1032.45,Wallet,Completed,3167.38
ORD0100008,2025-04-07,C04253,"Customer 04253",Regular,Male,36-45,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Meera,P001,"Premium T-Shirt",Apparel,Men,2,899.00,0.05,1708.10,1040.00,668.10,Card,Completed,1705.84
ORD0100009,2025-04-26,C01478,"Customer 01478",Regular,Female,46-55,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Aarav,P018,Sunglasses,Accessories,Unisex,2,999.00,0.05,1898.10,1040.00,858.10,UPI,Completed,1798.15
ORD0100010,2025-04-19,C00571,"Customer 00571",Corporate,Male,56+,Surat,Gujarat,West,ST004,"Surat Ring Road",Diya,P007,"Running Shoes",Footwear,Sports,2,2499.00,0.05,4748.10,3000.00,1748.10,"Net Banking",Returned,4879.47
